athlete_external_id,athlete_name,test_date,session_id,pitch_type,pitch_no,velocity_kmh,plate_velocity_kmh,velocity_loss_pct,spin_rpm,true_spin_rpm,spin_efficiency_pct,spin_axis_clock,spin_axis_deg,gyro_degree,ivb_cm,hb_cm,vb_total_cm,release_height_m,release_side_m,release_extension_m,release_angle_deg,vaa_deg,haa_deg,plate_height_cm,plate_side_cm,in_zone,bauer_units
P01,선수01,2026-05-15,SES_20260515_001,FB,1,125.2,117.4,6.2,2073,1839,88.7,6:11,185.4,7.5,37.6,5.2,7.6,1.72,0.27,1.96,0.5,-5.58,1.34,72.5,-9.6,1,26.6
P01,선수01,2026-05-15,SES_20260515_001,FB,2,124.7,116.3,6.7,2066,1695,82.0,6:42,200.8,9.6,37.1,6.9,7.1,1.71,0.3,2.0,-2.6,-5.74,1.63,116.3,29.5,0,26.7
P01,선수01,2026-05-15,SES_20260515_001,FB,3,122.8,113.2,7.8,2169,1942,89.5,6:10,184.8,5.6,39.4,5.4,9.4,1.72,0.33,1.95,-2.1,-5.71,1.32,95.4,4.7,1,28.4
P01,선수01,2026-05-15,SES_20260515_001,FB,4,123.5,113.8,7.9,2073,1799,86.8,6:48,203.9,8.1,40.1,9.7,10.1,1.71,0.31,1.95,0.3,-5.87,1.71,116.8,5.7,0,27.0
P01,선수01,2026-05-15,SES_20260515_001,FB,5,123.8,114.8,7.3,2130,1782,83.7,6:22,190.8,10.1,37.9,6.1,7.9,1.69,0.27,1.96,-1.2,-5.79,1.05,104.3,24.4,1,27.7
P02,선수02,2026-05-15,SES_20260515_002,FB,1,129.6,120.7,6.9,2274,1978,87.0,6:13,186.4,7.0,40.7,7.9,10.7,1.72,0.34,2.05,-0.7,-5.88,1.89,63.8,7.0,1,28.2
P02,선수02,2026-05-15,SES_20260515_002,FB,2,128.1,119.1,7.0,2308,2084,90.3,6:07,183.4,3.9,43.1,7.7,13.1,1.65,0.27,2.05,-0.3,-6.13,1.45,76.2,-9.4,1,29.0
P02,선수02,2026-05-15,SES_20260515_002,FB,3,128.3,118.1,8.0,2318,2114,91.2,6:25,192.5,2.6,42.3,12.2,12.3,1.7,0.32,2.09,-2.1,-6.46,1.95,63.4,-0.8,1,29.1
P02,선수02,2026-05-15,SES_20260515_002,FB,4,128.2,118.4,7.7,2257,2090,92.6,6:49,204.6,4.8,40.9,8.1,10.9,1.65,0.3,2.1,-1.2,-5.73,1.93,115.5,14.8,0,28.3
P02,선수02,2026-05-15,SES_20260515_002,FB,5,128.5,119.5,7.0,2226,2014,90.5,6:33,196.3,4.9,44.9,10.7,14.9,1.71,0.26,2.11,-1.7,-5.75,1.54,121.7,-14.6,0,27.9
P03,선수03,2026-05-15,SES_20260515_003,FB,1,122.5,113.7,7.2,2074,1773,85.5,5:33,166.5,6.8,38.3,-6.2,8.3,1.68,-0.29,1.9,-1.7,-5.76,-1.87,96.9,19.0,1,27.2
P03,선수03,2026-05-15,SES_20260515_003,FB,2,120.0,111.0,7.5,2061,1788,86.7,6:26,193.0,8.2,36.4,-8.6,6.4,1.63,-0.36,1.86,-0.5,-6.21,-1.24,74.5,-11.8,1,27.6
P03,선수03,2026-05-15,SES_20260515_003,FB,3,121.9,114.5,6.1,2159,1881,87.1,6:17,188.3,6.7,37.9,-5.1,7.9,1.71,-0.34,1.86,0.9,-6.0,-1.28,93.4,-17.7,1,28.5
P03,선수03,2026-05-15,SES_20260515_003,FB,4,121.6,112.4,7.5,2084,1751,84.0,6:12,186.0,8.7,35.2,-4.6,5.2,1.67,-0.36,1.9,-0.7,-5.67,-1.11,102.0,21.4,1,27.6
P03,선수03,2026-05-15,SES_20260515_003,FB,5,121.5,113.1,7.0,1986,1645,82.8,5:31,165.5,7.7,36.7,-6.0,6.7,1.68,-0.34,1.91,-1.5,-6.17,-1.77,125.4,-27.9,0,26.3
P04,선수04,2026-05-15,SES_20260515_004,FB,1,116.4,108.2,7.0,1957,1592,81.3,5:50,175.1,9.3,30.7,5.5,0.7,1.68,0.28,1.81,-3.0,-5.95,1.34,95.7,-21.6,1,27.1
P04,선수04,2026-05-15,SES_20260515_004,FB,2,115.2,106.8,7.2,1998,1530,76.6,6:09,184.5,11.2,31.3,6.6,1.3,1.68,0.36,1.8,-2.9,-6.17,1.07,74.4,21.3,1,27.9
P04,선수04,2026-05-15,SES_20260515_004,FB,3,116.2,108.4,6.7,1937,1510,77.9,6:46,203.1,10.6,30.0,1.7,0.0,1.63,0.31,1.81,-2.2,-5.8,1.97,83.5,-4.8,1,26.8
P04,선수04,2026-05-15,SES_20260515_004,FB,4,114.3,106.5,6.9,1841,1434,77.9,6:14,187.2,12.5,29.0,2.5,-1.0,1.64,0.28,1.81,-2.6,-6.28,1.08,71.9,20.8,1,25.9
P04,선수04,2026-05-15,SES_20260515_004,FB,5,115.8,107.9,6.8,1933,1474,76.2,6:26,192.8,13.2,31.0,3.5,1.0,1.65,0.28,1.87,-2.5,-5.66,1.88,127.1,-14.4,0,26.9
P05,선수05,2026-05-15,SES_20260515_005,FB,1,124.2,116.7,6.0,2180,1828,83.9,6:08,183.8,9.4,37.2,5.4,7.2,1.66,0.25,1.94,-1.4,-5.93,1.55,65.5,-20.0,1,28.3
P05,선수05,2026-05-15,SES_20260515_005,FB,2,125.5,116.9,6.9,2197,1958,89.2,6:20,190.0,6.3,38.5,10.3,8.5,1.62,0.28,1.94,0.4,-6.12,1.85,79.9,6.5,1,28.2
