_source,_player,_trial,peak_pelvis_v,peak_trunk_v,peak_humerus_v,peak_arm_v,peak_forearm_v,peak_hand_v,pelvis_to_trunk_lag_ms,trunk_to_humerus_lag_ms,max_x_factor,hip_shoulder_sep_at_fp,max_cog_velo_m_s,cog_decel_m_s,fp1_z_peak,fp2_z_peak,lead_z_peak,rear_z_peak,drive_propulsive_peak_pct_bw,drive_propulsive_impulse_pct_bw_s,lead_braking_peak_pct_bw,lead_braking_impulse_pct_bw_s,lead_block_duration_ms,horizontal_to_vertical_ratio,newtforce_turning_point_z_pct_bw,newtforce_lead_negative_y_pct_bw,newtforce_lead_negative_y_ms_after_br,newtforce_time_of_transfer_ms,layback_deg,torso_fwd_tilt_at_fp,torso_side_bend_at_mer,lead_knee_at_fp,lead_knee_at_br,stride_length,stride_pct,sampling_rate_hz_internal,fp_mapping,fc_frame,br_frame,n_frames
Accurate,ahnyowon,Fastball RH Markerless 1,617.55432,867.38049,4930.08203,4930.08203,,3248.13159,16.7,63.3,19.97805,19.72354,,,0.0,862.5484,0.0,862.5484,3.9,14.56,,,143.3,0.038,96.5,,,,174.64735,0.39692,21.14063,47.7822,16.51554,1.47054,77.40031,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1266,1309,6160
Accurate,ahnyowon,Fastball RH Markerless 10,652.14795,908.37378,4647.81396,4647.81396,,3191.14038,30.0,56.7,20.51551,19.01428,,,0.0,984.19189,0.0,984.19189,2.3,5.66,,,133.3,0.021,110.1,,,,169.87698,1.72303,31.98916,48.92874,14.94572,1.47492,77.63061,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1117,1157,5452
Accurate,ahnyowon,Fastball RH Markerless 2,632.42993,898.71045,4738.97852,4738.97852,,3366.19312,20.0,66.7,20.58121,20.27062,,,0.0,948.15918,0.0,948.15918,4.7,10.06,,,133.3,0.044,106.2,,,,173.42264,2.08257,22.90168,48.04193,11.61981,1.5052,79.2243,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1244,1284,6040
Accurate,ahnyowon,Fastball RH Markerless 3,595.35352,907.85626,4487.12793,4487.12793,,3278.47876,-26.7,66.7,20.32683,19.46316,,,0.0,928.03851,0.0,928.03851,2.6,6.66,,,146.7,0.024,102.8,,,,173.51556,0.52872,23.33598,46.67891,22.36888,1.51889,79.9449,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1280,1324,6604
Accurate,ahnyowon,Fastball RH Markerless 4,610.65674,933.27942,4594.57178,4594.57178,,3390.35059,16.7,66.7,20.72935,20.72935,,,0.0,961.20789,0.0,961.20789,1.3,3.09,,,133.3,0.012,107.2,,,,171.06984,3.39515,24.2809,48.82922,11.17655,1.51009,79.482,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1231,1271,6120
Accurate,ahnyowon,Fastball RH Markerless 5,611.65918,915.70142,4495.73535,4495.73535,,3321.08618,23.3,60.0,21.8685,21.55613,,,0.0,914.34375,0.0,914.34375,2.9,8.02,,,140.0,0.028,98.3,,,,170.87045,2.11055,24.39698,49.20924,20.57533,1.53208,80.63931,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1184,1226,5692
Accurate,ahnyowon,Fastball RH Markerless 6,620.81482,929.31842,4646.64648,4646.64648,,3389.24341,23.3,63.3,20.74848,20.59935,,,0.0,931.57513,0.0,931.57513,2.3,6.38,,,136.7,0.022,104.3,,,,171.48376,3.07271,26.16733,49.43152,17.08539,1.50765,79.35352,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1274,1315,6276
Accurate,ahnyowon,Fastball RH Markerless 7,641.23682,902.97144,4633.46924,4633.46924,,3284.88232,23.3,66.7,21.1752,20.21866,,,0.0,942.02893,0.0,942.02893,1.6,3.83,,,133.3,0.015,103.4,,,,168.7182,3.00466,26.38265,46.82464,11.97162,1.4975,78.81894,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1131,1171,5388
Accurate,ahnyowon,Fastball RH Markerless 8,699.54572,861.73688,4583.59619,4583.59619,,3278.59399,46.7,46.7,21.93171,20.75265,,,0.0,936.5202,0.0,936.5202,1.5,3.92,,,136.7,0.014,104.1,,,,167.68459,2.83197,29.81523,48.78043,9.37937,1.44284,75.9424,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1169,1210,5700
Accurate,ahnyowon,Fastball RH Markerless 9,644.06567,935.328,4583.80713,4583.80713,,3484.57739,23.3,60.0,22.17404,21.22013,,,0.0,955.27399,0.0,955.27399,2.2,5.92,,,133.3,0.021,102.0,,,,170.47539,3.97191,25.40431,48.29372,10.27706,1.48389,78.10289,300,"FP1=lead(앞발), FP2=rear(뒷발) — 강제 매핑",1234,1274,5636
