
"Player ID:",1454724
"Player Name:",P 01

"No","Date","Pitch ID","Pitch Type","Is Strike","Strike Zone Side","Strike Zone Height","Velocity","Total Spin","True Spin (release)","Spin Efficiency (release)","Spin Direction","Spin Confidence","VB (trajectory)","HB (trajectory)","SSW VB","SSW HB","VB (spin)","HB (spin)","Horizontal Angle","Release Angle","Release Height","Release Side","Gyro Degree (deg)","Unique ID","Device Serial Number","SO - latLongConfidence","SO - latitude","SO - longitude","SO - rotMatConfidence","SO - timestamp","SO - Xx","SO - Xy","SO - Xz","SO - Yx","SO - Yy","SO - Yz","SO - Zx","SO - Zy","SO - Zz","Horizontal Approach Angle","Vertical Approach Angle","Session Name","Intent Type","Release Extension (ft)"
1,"Thu Dec 04 2025 5:21:58 AM",1764825718,"Fastball","N",-18.63,153.48,118.3,1816.44,1521.6,83.77,"12:14",1,61.5,58.1,"-","-","-","-",1.57,1.99,1.72,-0.33,-33.1,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
2,"Thu Dec 04 2025 5:21:44 AM",1764825704,"Fastball","N",38.17,115.35,114.02,1791.5,1408.2,78.6,"12:14",1,15.8,29.8,"-","-","-","-",-1.5,0.21,1.67,-0.34,-38.18,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
3,"Thu Dec 04 2025 5:21:26 AM",1764825686,"Fastball","N",109.02,84.1,108.42,1855.24,1351.5,72.85,"11:46",1,-0.6,-3.9,"-","-","-","-",-4.85,-2.05,1.82,-0.24,-43.24,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
4,"Thu Dec 04 2025 5:21:12 AM",1764825672,"Fastball","N",-54.24,133.46,108.23,1887.34,1488.1,78.85,"11:46",1,47.5,6.6,"-","-","-","-",0.85,1.47,1.73,-0.37,-37.96,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
5,"Thu Dec 04 2025 5:20:56 AM",1764825656,"Fastball","-",0,0,112.24,1894.28,1468.1,77.5,"11:48",1,"-","-","-","-","-","-",0,0,0,0,-39.2,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
6,"Thu Dec 04 2025 5:20:39 AM",1764825639,"Fastball","Y",0.53,77.4,109.5,1921.55,1498.1,77.96,"11:48",1,-10.3,0.9,"-","-","-","-",-1.18,-1.74,1.76,-0.34,-38.77,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
7,"Thu Dec 04 2025 5:20:14 AM",1764825614,"Fastball","N",24.21,145.73,118.27,"-","-","-","-",0,"-",-7.9,"-","-","-","-",-2.27,4.41,2.1,-0.13,0,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
8,"Thu Dec 04 2025 5:20:01 AM",1764825601,"Fastball","N",31.75,132.32,112.64,1805.1,1572.1,87.09,"11:04",1,45.6,-5,"-","-","-","-",-2.63,1.74,1.67,-0.38,-29.44,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
9,"Thu Dec 04 2025 5:12:09 AM",1764825129,"Fastball","N",-75.75,90.56,128.67,2017.73,1716.9,85.09,"02:32",1,55.8,40.2,"-","-","-","-",7.41,0.14,1.45,0.95,31.69,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
10,"Thu Dec 04 2025 5:11:09 AM",1764825069,"Fastball","N",47.89,149.37,134.78,2893.17,2831.6,97.87,"12:22",0.5,62,47.5,"-","-","-","-",3.6,1.8,1.45,1.02,11.84,"-","MTD-22115G92627",,,,,,,,,,,,,,,"-","-","S50","high_intent","-"
